,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
5556,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,critical
5557,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Frances
5558,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Shiite
5559,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,watched
5560,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,stated
5561,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,Sociales
5562,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,winning
5563,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Anna
5564,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,befriend
5565,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,dynastical
5566,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,64
5567,1.0,1.0,1.0,1.0,3.0,1.0,5.0,0.2,0.6,0.2,Harry
5568,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Puntlatsh
5569,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,spectrum
5570,0.0,1.0,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,Bihari
5571,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Navajo
5572,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Securifera
5573,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bella
5574,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,4000
5575,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,notch
5576,1.0,1.0,1.0,4.0,1.0,1.0,6.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,ago
5577,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Yamato
5578,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,siege
5579,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,resignation
5580,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Chasselas
5581,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Lynn
5582,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,Emmental
5583,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,factory
5584,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,fox
5585,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,sleeping
5586,1.0,1.0,1.0,14.0,4.0,6.0,24.0,0.5833333333333334,0.16666666666666666,0.25,help
