,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
122,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Lallan
123,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,nach
124,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,tumble
125,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Stalinism
126,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Atta
127,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,salon
128,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Whitechapel
129,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,scratch
130,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,......
131,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,seminar
132,1.0,0.0,1.0,5.0,0.0,4.0,9.0,0.5555555555555556,0.0,0.4444444444444444,]
133,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,raincoat
134,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Taruma
135,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Lif
136,1.0,1.0,1.0,5.0,1.0,2.0,8.0,0.625,0.125,0.25,yesterday
137,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,dare
138,0.0,1.0,0.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,Amita
139,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,hawk
140,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Gorkhali
141,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,industrial
142,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,vee
143,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,graft
144,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,condemn
145,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Freesia
146,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,dual
147,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Waterberg
148,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Vivek
149,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Kaf
150,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,inbond
151,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Maliki
